rentree_scolaire;UAI;departement;academie;region;patronyme;indice_eloignement
2021;0950812S;VAL-D'OISE;VERSAILLES;ILE-DE-FRANCE;LYCÉE POLYVALENT PRIVÉ JEANNE D'ARC, LYCÉE DES MÉTIERS DU COMMERCE ET DES SERVICES AUX ENTREPRISES;97.1
2021;9740479C;LA REUNION;LA REUNION;LA REUNION;LYCÉE PROFESSIONNEL AMIRAL LACAZE;97.1
2021;0301552Z;GARD;MONTPELLIER;OCCITANIE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE PHILIPPE LAMOUR;97.2
2021;0440030U;LOIRE-ATLANTIQUE;NANTES;PAYS DE LA LOIRE;LYCÉE POLYVALENT GASPARD MONGE - LA CHAUVINIÈRE;97.2
2021;0690129R;RHONE;LYON;AUVERGNE-RHONE-ALPES;LYCÉE PROFESSIONNEL EDMOND LABBÉ - LYCÉE DES MÉTIERS DE L'ÉNERGIE;97.2
2021;0760088H;SEINE MARITIME;NORMANDIE;NORMANDIE;LYCÉE PROFESSIONNEL ELISA LEMONNIER;97.2
2021;0950649P;VAL-D'OISE;VERSAILLES;ILE-DE-FRANCE;LYCÉE POLYVALENT CAMILLE PISSARRO, LYCÉE DES MÉTIERS DE LA SANTÉ, DU SOCIAL ET DE L'AIDE AUX PERSONNES;97.2
2021;0950762M;VAL-D'OISE;VERSAILLES;ILE-DE-FRANCE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE PRIVÉ SAINT MARTIN DE FRANCE;97.2
2021;0421006R;LOIRE;LYON;AUVERGNE-RHONE-ALPES;LYCÉE PROFESSIONNEL PRIVÉ SAINT ENNEMOND - LYCÉE DES MÉTIERS DE L'ACCOMPAGNEMENT DE LA PERSONNE ET DES ORGANISATIONS;97.3
2021;0641732K;PYRENEES-ATLANTIQUES;BORDEAUX;NOUVELLE-AQUITAINE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE SAINT JOHN PERSE;97.3
2021;0801479Y;SOMME;AMIENS;HAUTS-DE-FRANCE;LYCÉE D'ENSEIGNEMENT GÉNÉRAL ET TECHNOLOGIQUE PRIVÉ SAINT RÉMI;97.3
2021;0940138P;VAL-DE-MARNE;CRETEIL;ILE-DE-FRANCE;LYCÉE PROFESSIONNEL ARMAND GUILLAUMIN - LYCÉE DES MÉTIERS DE LA COIFFURE, DE L'ESTHÉTIQUE ET DES SOINS DE LA PERSONNE;97.3
2021;0030445T;ALLIER;CLERMONT-FERRAND;AUVERGNE-RHONE-ALPES;LYCÉE GÉNÉRAL PRIVÉ SAINT-JOSEPH;97.4
2021;0031041R;ALLIER;CLERMONT-FERRAND;AUVERGNE-RHONE-ALPES;LYCÉE TECHNOLOGIQUE PRIVÉ ANNA RODIER;97.4
2021;0060082G;ALPES-MARITIMES;NICE;PROVENCE-ALPES-COTE D'AZUR;LYCÉE PROFESSIONNEL LES EUCALYPTUS LYCÉE DES SCIENCES APPLIQUÉES AUX MÉTIERS DE L'INDUSTRIE;97.4
2021;0130059U;BOUCHES-DU-RHONE;AIX-MARSEILLE;PROVENCE-ALPES-COTE D'AZUR;LYCÉE PROFESSIONNEL BLAISE PASCAL;97.4
2021;0350778F;ILLE-ET-VILAINE;RENNES;BRETAGNE;LYCÉE GÉNÉRAL PRIVÉ ASSOMPTION;97.4
2021;0594653M;NORD;LILLE;HAUTS-DE-FRANCE;LYCÉE PROFESSIONNEL ANDRÉ JURÉNIL;97.4
2021;0600004D;OISE;AMIENS;HAUTS-DE-FRANCE;LYCÉE PROFESSIONNEL LES JACOBINS;97.4
2021;0620063G;PAS-DE-CALAIS;LILLE;HAUTS-DE-FRANCE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE SOPHIE BERTHELOT;97.4
2021;0760090K;SEINE MARITIME;NORMANDIE;NORMANDIE;LYCÉE GÉNÉRAL PIERRE CORNEILLE;97.4
2021;0840042P;VAUCLUSE;AIX-MARSEILLE;PROVENCE-ALPES-COTE D'AZUR;LYCÉE PROFESSIONNEL ROBERT SCHUMAN;97.4
2021;0920130S;HAUTS-DE-SEINE;VERSAILLES;ILE-DE-FRANCE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE DESCARTES;97.4
2021;9740002J;LA REUNION;LA REUNION;LA REUNION;LYCÉE POLYVALENT ROLAND GARROS;97.4
2021;0121309H;AVEYRON;TOULOUSE;OCCITANIE;LYCÉE PROFESSIONNEL PRIVÉ SAINT-JOSEPH;97.5
2021;0300002P;GARD;MONTPELLIER;OCCITANIE;LYCÉE POLYVALENT JEAN-BAPTISTE DUMAS, LYCÉE DES MÉTIERS DU TRAVAIL SOCIAL, DE LA MÉCANIQUE ET DES PLURITECHNOLOGIES;97.5
2021;0310057U;HAUTE-GARONNE;TOULOUSE;OCCITANIE;LYCÉE PROFESSIONNEL HÉLÈNE BOUCHER - LYCÉE DES MÉTIERS DES SOINS À LA PERSONNE;97.5
2021;0370727P;INDRE-ET-LOIRE;ORLEANS-TOURS;CENTRE-VAL DE LOIRE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE PRIVÉ GRAND SAINT GREGOIRE;97.5
2021;0620113L;PAS-DE-CALAIS;LILLE;HAUTS-DE-FRANCE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE HENRI DARRAS;97.5
2021;0670024M;BAS-RHIN;STRASBOURG;GRAND EST;LYCÉE PROFESSIONNEL ANDRÉ SIEGFRIED - LYCÉE DES MÉTIERS;97.5
2021;0772276F;SEINE-ET-MARNE;CRETEIL;ILE-DE-FRANCE;LYCÉE POLYVALENT JEHAN DE CHELLES - LYCÉE DES MÉTIERS DE LA SANTÉ ET DU SOCIAL;97.5
2021;0921595J;HAUTS-DE-SEINE;VERSAILLES;ILE-DE-FRANCE;LYCÉE PROFESSIONNEL DANIEL BALAVOINE;97.5
2021;0951763A;VAL-D'OISE;VERSAILLES;ILE-DE-FRANCE;LYCÉE POLYVALENT LOUIS JOUVET, LYCÉE DES MÉTIERS DE LA SANTÉ ET DU SOCIAL;97.5
2021;0060034E;ALPES-MARITIMES;NICE;PROVENCE-ALPES-COTE D'AZUR;LYCÉE POLYVALENT HÔTELIER TOURISME PAUL AUGIER - LYCÉE DES MÉTIERS DE L'HÔTELLERIE ET DU TOURISME;97.6
2021;0220071H;COTES D'ARMOR;RENNES;BRETAGNE;LYCÉE PROFESSIONNEL EUGÈNE FREYSSINET - LYCÉE DES MÉTIERS DU BÂTIMENT ET DES TRAVAUX PUBLICS;97.6
2021;0260066F;DROME;GRENOBLE;AUVERGNE-RHONE-ALPES;LYCÉE GÉNÉRAL PRIVÉ SAINT MAURICE;97.6
2021;0311902Z;HAUTE-GARONNE;TOULOUSE;OCCITANIE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE STÉPHANE HESSEL;97.6
2021;0380008C;ISERE;GRENOBLE;AUVERGNE-RHONE-ALPES;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE L'OISELET;97.6
2021;0380028Z;ISERE;GRENOBLE;AUVERGNE-RHONE-ALPES;LYCÉE GÉNÉRAL STENDHAL;97.6
2021;0382437T;ISERE;GRENOBLE;AUVERGNE-RHONE-ALPES;MAISON FAMILIALE RURALE DE COUBLEVIE;97.6
2021;0450782F;LOIRET;ORLEANS-TOURS;CENTRE-VAL DE LOIRE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE VOLTAIRE;97.6
2021;0693044J;RHONE;LYON;AUVERGNE-RHONE-ALPES;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE JEAN-PAUL SARTRE;97.6
2021;0750558Z;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE POLYVALENT PAUL POIRET;97.6
2021;0851642Y;VENDEE;NANTES;PAYS DE LA LOIRE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE PRIVÉ SAINT FRANÇOIS D'ASSISE;97.6
2021;0860035W;VIENNE;POITIERS;NOUVELLE-AQUITAINE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE CAMILLE GUÉRIN;97.6
2021;0951974E;VAL-D'OISE;VERSAILLES;ILE-DE-FRANCE;LYCÉE POLYVALENT LOUIS ARMAND;97.6
2021;9730001N;GUYANE;GUYANE;GUYANE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE FELIX EBOUÉ;97.6
